subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_184.wav,0,True,2337,0,0.0,86.245131
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_184.wav,0,True,2337,1,0.071043,106.60405
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_184.wav,0,True,2337,2,0.142086,-48.425154
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_184.wav,0,True,2337,3,0.213129,48.927001
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_184.wav,0,True,2337,4,0.284172,-82.972934
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_184.wav,0,True,2337,5,0.355215,73.552976
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_184.wav,0,True,2337,6,0.426259,-131.359115
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_163.wav,1,False,2337,0,0.0,-73.767207
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_163.wav,1,False,2337,1,0.071043,23.213677
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_163.wav,1,False,2337,2,0.142086,-14.939662
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_163.wav,1,False,2337,3,0.213129,-71.864469
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_163.wav,1,False,2337,4,0.284172,-38.295965
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_163.wav,1,False,2337,5,0.355215,-52.851418
Auregan,0,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_163.wav,1,False,2337,6,0.426259,-70.943671
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_26.wav,0,True,6767,0,0.0,-135.344658
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_26.wav,0,True,6767,1,0.071043,-76.172858
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_26.wav,0,True,6767,2,0.142086,-130.999312
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_26.wav,0,True,6767,3,0.213129,-146.306144
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_26.wav,0,True,6767,4,0.284172,-78.266251
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_26.wav,0,True,6767,5,0.355215,30.254136
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_26.wav,0,True,6767,6,0.426259,-114.179281
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_14.wav,1,False,6767,0,0.0,-139.491371
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_14.wav,1,False,6767,1,0.071043,-89.621492
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_14.wav,1,False,6767,2,0.142086,-85.009614
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_14.wav,1,False,6767,3,0.213129,-29.902058
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_14.wav,1,False,6767,4,0.284172,-86.665261
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_14.wav,1,False,6767,5,0.355215,27.459037
Auregan,1,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_14.wav,1,False,6767,6,0.426259,33.245669
Auregan,2,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_98.wav,0,False,2039,0,0.0,102.170357
Auregan,2,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_98.wav,0,False,2039,1,0.071043,20.715456
Auregan,2,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_98.wav,0,False,2039,2,0.142086,81.972821
Auregan,2,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_98.wav,0,False,2039,3,0.213129,-125.018297
Auregan,2,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_98.wav,0,False,2039,4,0.284172,103.374214
Auregan,2,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_98.wav,0,False,2039,5,0.355215,-81.704677
Auregan,2,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_98.wav,0,False,2039,6,0.426259,85.109238
Auregan,2,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_176.wav,1,True,2039,0,0.0,-0.886832
